,Site,Parameter,Date_LT,Year,Month,Day,Hour,NowCast_Conc,AQI,AQI_Category,Raw_Conc,Conc_Unit,Duration,QC_Name
121,Ulaanbaatar,PM2.5 - Principal,2018-06-01 02:00:00,2018,1,6,2,48.32179800839755,133.0,Unhealthy for Sensitive Groups,0.0,UG/M3,1 Hr,Invalid
122,Ulaanbaatar,PM2.5 - Principal,2018-06-01 03:00:00,2018,1,6,3,48.32179800839755,133.0,Unhealthy for Sensitive Groups,0.0,UG/M3,1 Hr,Invalid
123,Ulaanbaatar,PM2.5 - Principal,2018-06-01 04:00:00,2018,1,6,4,48.32179800839755,133.0,Unhealthy for Sensitive Groups,0.0,UG/M3,1 Hr,Invalid
124,Ulaanbaatar,PM2.5 - Principal,2018-06-01 05:00:00,2018,1,6,5,48.32179800839755,133.0,Unhealthy for Sensitive Groups,0.0,UG/M3,1 Hr,Invalid
125,Ulaanbaatar,PM2.5 - Principal,2018-06-01 06:00:00,2018,1,6,6,48.32179800839755,133.0,Unhealthy for Sensitive Groups,327.0,UG/M3,1 Hr,Valid
134,Ulaanbaatar,PM2.5 - Principal,2018-06-01 15:00:00,2018,1,6,15,183.8,234.0,Very Unhealthy,100.0,UG/M3,1 Hr,Valid
135,Ulaanbaatar,PM2.5 - Principal,2018-06-01 16:00:00,2018,1,6,16,131.9,190.0,Unhealthy,81.0,UG/M3,1 Hr,Valid
136,Ulaanbaatar,PM2.5 - Principal,2018-06-01 17:00:00,2018,1,6,17,102.3,175.0,Unhealthy,73.0,UG/M3,1 Hr,Valid
137,Ulaanbaatar,PM2.5 - Principal,2018-06-01 18:00:00,2018,1,6,18,176.3,227.0,Very Unhealthy,250.0,UG/M3,1 Hr,Valid
138,Ulaanbaatar,PM2.5 - Principal,2018-06-01 19:00:00,2018,1,6,19,208.6,259.0,Very Unhealthy,241.0,UG/M3,1 Hr,Valid
139,Ulaanbaatar,PM2.5 - Principal,2018-06-01 20:00:00,2018,1,6,20,196.8,247.0,Very Unhealthy,185.0,UG/M3,1 Hr,Valid
140,Ulaanbaatar,PM2.5 - Principal,2018-06-01 21:00:00,2018,1,6,21,209.8,260.0,Very Unhealthy,223.0,UG/M3,1 Hr,Valid
141,Ulaanbaatar,PM2.5 - Principal,2018-06-01 22:00:00,2018,1,6,22,225.4,275.0,Very Unhealthy,241.0,UG/M3,1 Hr,Valid
142,Ulaanbaatar,PM2.5 - Principal,2018-06-01 23:00:00,2018,1,6,23,199.2,249.0,Very Unhealthy,173.0,UG/M3,1 Hr,Valid
143,Ulaanbaatar,PM2.5 - Principal,2018-07-01 00:00:00,2018,1,7,0,175.0,225.0,Very Unhealthy,151.0,UG/M3,1 Hr,Valid
144,Ulaanbaatar,PM2.5 - Principal,2018-07-01 01:00:00,2018,1,7,1,174.5,225.0,Very Unhealthy,174.0,UG/M3,1 Hr,Valid
145,Ulaanbaatar,PM2.5 - Principal,2018-07-01 02:00:00,2018,1,7,2,189.7,240.0,Very Unhealthy,205.0,UG/M3,1 Hr,Valid
