Site,Parameter,Date LT,Year,Month,Day,Hour,NowCast Conc,AQI,AQI Category,Raw Conc,Conc Unit,Duration,QC Name
Ulaanbaatar,PM2.5 - Principal,01-01-2019 01:00,2019,1,1,1,356,405,Hazardous,380,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2019 02:00,2019,1,1,2,377,419,Hazardous,398,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2019 03:00,2019,1,1,3,363.5,410,Hazardous,350,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2019 04:00,2019,1,1,4,400.8,434,Hazardous,438,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2019 05:00,2019,1,1,5,386.9,425,Hazardous,373,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2019 06:00,2019,1,1,6,348.9,399,Hazardous,311,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2019 07:00,2019,1,1,7,299.9,350,Hazardous,251,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2019 08:00,2019,1,1,8,251.9,302,Hazardous,204,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2019 09:00,2019,1,1,9,219.4,269,Very Unhealthy,187,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2019 10:00,2019,1,1,10,210.7,261,Very Unhealthy,202,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2019 11:00,2019,1,1,11,252.3,303,Hazardous,294,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2019 12:00,2019,1,1,12,340.6,390,Hazardous,429,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2019 13:00,2019,1,1,13,250.3,300,Very Unhealthy,160,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2019 14:00,2019,1,1,14,138.1,194,Unhealthy,26,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2019 15:00,2019,1,1,15,86,167,Unhealthy,34,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2019 16:00,2019,1,1,16,55.4,150,Unhealthy for Sensitive Groups,25,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2019 17:00,2019,1,1,17,40.1,112,Unhealthy for Sensitive Groups,25,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2019 18:00,2019,1,1,18,38,107,Unhealthy for Sensitive Groups,36,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2019 19:00,2019,1,1,19,43,119,Unhealthy for Sensitive Groups,48,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2019 20:00,2019,1,1,20,79.9,164,Unhealthy,117,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2019 21:00,2019,1,1,21,142.4,196,Unhealthy,205,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2019 22:00,2019,1,1,22,170.7,221,Very Unhealthy,199,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2019 23:00,2019,1,1,23,235.3,285,Very Unhealthy,300,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,02-01-2019 00:00,2019,1,2,0,371.6,415,Hazardous,508,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,02-01-2019 01:00,2019,1,2,1,468.8,479,Hazardous,566,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,02-01-2019 02:00,2019,1,2,2,469,479,Hazardous,469,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,02-01-2019 03:00,2019,1,2,3,485,490,Hazardous,501,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,02-01-2019 04:00,2019,1,2,4,528,518,Hazardous,571,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,02-01-2019 05:00,2019,1,2,5,469,479,Hazardous,410,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,02-01-2019 06:00,2019,1,2,6,354.5,404,Hazardous,240,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,02-01-2019 07:00,2019,1,2,7,266.3,317,Hazardous,178,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,02-01-2019 08:00,2019,1,2,8,210.6,261,Very Unhealthy,155,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,02-01-2019 09:00,2019,1,2,9,244.3,294,Very Unhealthy,278,UG/M3,1 Hr,Valid
