Site,Parameter,Date LT,Year,Month,Day,Hour,NowCast Conc,AQI,AQI Category,Raw Conc,Conc Unit,Duration,QC Name
Ulaanbaatar,PM2.5 - Principal,01-01-2021 01:00,2021,1,1,1,95,171,Unhealthy,109,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2021 02:00,2021,1,1,2,87,167,Unhealthy,79,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2021 03:00,2021,1,1,3,63.5,155,Unhealthy,40,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2021 04:00,2021,1,1,4,54.7,148,Unhealthy for Sensitive Groups,46,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2021 05:00,2021,1,1,5,54.7,148,Unhealthy for Sensitive Groups,-999,UG/M3,1 Hr,Missing
Ulaanbaatar,PM2.5 - Principal,04-01-2021 16:00,2021,1,4,16,-999,-999,N/A,-1,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,04-01-2021 17:00,2021,1,4,17,-999,-999,N/A,0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,04-01-2021 18:00,2021,1,4,18,-999,-999,N/A,-4,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,04-01-2021 19:00,2021,1,4,19,-999,-999,N/A,8,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,05-01-2021 12:00,2021,1,5,12,-999,-999,N/A,17,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,05-01-2021 13:00,2021,1,5,13,-999,-999,N/A,0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,05-01-2021 14:00,2021,1,5,14,-999,-999,N/A,0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,05-01-2021 15:00,2021,1,5,15,-999,-999,N/A,-2,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,05-01-2021 16:00,2021,1,5,16,-999,-999,N/A,-3,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,05-01-2021 17:00,2021,1,5,17,-999,-999,N/A,-2,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,05-01-2021 18:00,2021,1,5,18,-999,-999,N/A,4,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,05-01-2021 19:00,2021,1,5,19,-999,-999,N/A,0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,06-01-2021 18:00,2021,1,6,18,-999,-999,N/A,4,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,06-01-2021 19:00,2021,1,6,19,8,33,Good,10,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,06-01-2021 20:00,2021,1,6,20,6.8,28,Good,6,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,06-01-2021 21:00,2021,1,6,21,8.5,35,Good,10,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,06-01-2021 22:00,2021,1,6,22,18,63,Moderate,27,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,06-01-2021 23:00,2021,1,6,23,60.1,153,Unhealthy,101,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,07-01-2021 00:00,2021,1,7,0,95.3,172,Unhealthy,130,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,07-01-2021 01:00,2021,1,7,1,79.6,163,Unhealthy,64,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,07-01-2021 02:00,2021,1,7,2,84.3,166,Unhealthy,89,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,07-01-2021 03:00,2021,1,7,3,80.6,164,Unhealthy,77,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,07-01-2021 04:00,2021,1,7,4,54.8,149,Unhealthy for Sensitive Groups,29,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,07-01-2021 05:00,2021,1,7,5,46.9,129,Unhealthy for Sensitive Groups,39,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,07-01-2021 06:00,2021,1,7,6,40.4,113,Unhealthy for Sensitive Groups,34,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,07-01-2021 07:00,2021,1,7,7,28.2,85,Moderate,16,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,07-01-2021 08:00,2021,1,7,8,18.1,64,Moderate,8,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,07-01-2021 09:00,2021,1,7,9,15,57,Moderate,12,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,07-01-2021 10:00,2021,1,7,10,16,59,Moderate,17,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,07-01-2021 11:00,2021,1,7,11,26,80,Moderate,36,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,07-01-2021 12:00,2021,1,7,12,30.9,91,Moderate,36,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,07-01-2021 13:00,2021,1,7,13,46.4,128,Unhealthy for Sensitive Groups,62,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,07-01-2021 14:00,2021,1,7,14,25.7,80,Moderate,5,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,07-01-2021 15:00,2021,1,7,15,25.7,80,Moderate,-4,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,07-01-2021 16:00,2021,1,7,16,-999,-999,N/A,-3,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,07-01-2021 17:00,2021,1,7,17,-999,-999,N/A,-4,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,07-01-2021 18:00,2021,1,7,18,-999,-999,N/A,2,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,07-01-2021 19:00,2021,1,7,19,15.7,59,Moderate,22,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,07-01-2021 20:00,2021,1,7,20,41.1,115,Unhealthy for Sensitive Groups,61,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,07-01-2021 21:00,2021,1,7,21,29.9,88,Moderate,20,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,07-01-2021 22:00,2021,1,7,22,17.1,62,Moderate,5,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,07-01-2021 23:00,2021,1,7,23,28.2,85,Moderate,39,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,08-01-2021 00:00,2021,1,8,0,47.7,131,Unhealthy for Sensitive Groups,67,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,08-01-2021 01:00,2021,1,8,1,49.8,136,Unhealthy for Sensitive Groups,52,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,08-01-2021 02:00,2021,1,8,2,53.4,145,Unhealthy for Sensitive Groups,57,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,08-01-2021 03:00,2021,1,8,3,53.2,145,Unhealthy for Sensitive Groups,53,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,08-01-2021 04:00,2021,1,8,4,42.1,117,Unhealthy for Sensitive Groups,31,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,08-01-2021 05:00,2021,1,8,5,24,76,Moderate,6,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,08-01-2021 06:00,2021,1,8,6,15.5,58,Moderate,7,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,08-01-2021 07:00,2021,1,8,7,9.7,40,Good,4,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,08-01-2021 08:00,2021,1,8,8,9.7,40,Good,-2,UG/M3,1 Hr,Invalid
